movie_name,movie_rating,movie_url,movie_release_year,movie_category
Sonic the Hedgehog 3,7.2 / 10,https://yts.mx/movies/sonic-the-hedgehog-3-2024,2024,Action
"Love, Simon",7.5 / 10,https://yts.mx/movies/love-simon-2018,2018,Action
 100KG Vampire,5.3 / 10,https://yts.mx/movies/100kg-vampire-2023,2023,Action
Richard Jewell,7.5 / 10,https://yts.mx/movies/richard-jewell-2019,2019,Action
Attrition,3.8 / 10,https://yts.mx/movies/attrition-2018,2018,Action
"Oh, Canada",5.8 / 10,https://yts.mx/movies/oh-canada-2024,2024,Action
A Night Full of Rain,6 / 10,https://yts.mx/movies/a-night-full-of-rain-1978,1978,Action
The Intruder,5.7 / 10,https://yts.mx/movies/the-intruder-2024,2024,Action
 Rifle Club,7.1 / 10,https://yts.mx/movies/rifle-club-2024,2024,Action
The Exploding Boy,7.1 / 10,https://yts.mx/movies/the-exploding-boy-2023,2023,Action
 The Sand Castle,6.5 / 10,https://yts.mx/movies/the-sand-castle-2024,2024,Action
A Vineyard Christmas,5.3 / 10,https://yts.mx/movies/a-vineyard-christmas-2023,2023,Action
Ghost of New Orleans,5 / 10,https://yts.mx/movies/ghost-of-new-orleans-2011,2011,Action
"Jo Jo Dancer, Your Life Is Calling",6.3 / 10,https://yts.mx/movies/jo-jo-dancer-your-life-is-calling-1986,1986,Action
 The Girl with the Needle,7.5 / 10,https://yts.mx/movies/the-girl-with-the-needle-2024,2024,Action
Reindeer Games,5.8 / 10,https://yts.mx/movies/reindeer-games-2000,2000,Action
 Laaga Chunari Mein Daag: Journey of a Woman,5.4 / 10,https://yts.mx/movies/laaga-chunari-mein-daag-journey-of-a-woman-2007,2007,Action
Honor Student,7 / 10,https://yts.mx/movies/honor-student-2023,2023,Action
A True Christmas,5.5 / 10,https://yts.mx/movies/a-true-christmas-2022,2022,Action
Apocalypse Rising,4.1 / 10,https://yts.mx/movies/apocalypse-rising-2018,2018,Action
A True Christmas,5.5 / 10,https://yts.mx/movies/a-true-christmas-2022,2022,Drama
Apocalypse Rising,4.1 / 10,https://yts.mx/movies/apocalypse-rising-2018,2018,Drama
Money Monster,6.5 / 10,https://yts.mx/movies/money-monster-2016,2016,Drama
9-11: The Day the World Stood Still,,https://yts.mx/movies/9-11-the-day-the-world-stood-still-2025,2025,Drama
 The Vanishing Soldier,6.3 / 10,https://yts.mx/movies/the-vanishing-soldier-2023,2023,Drama
"Angel, Angel, Down We Go",4.3 / 10,https://yts.mx/movies/angel-angel-down-we-go-1969,1969,Drama
Another Soul,2.2 / 10,https://yts.mx/movies/another-soul-2018,2018,Drama
Appointment with Crime,6.2 / 10,https://yts.mx/movies/appointment-with-crime-1946,1946,Drama
My Divorce Party,3.5 / 10,https://yts.mx/movies/my-divorce-party-2024,2024,Drama
Grafted,6.2 / 10,https://yts.mx/movies/grafted-2024,2024,Drama
 Digger,7.4 / 10,https://yts.mx/movies/digger-2020,2020,Drama
Carrie Underwood: Reflection,,https://yts.mx/movies/carrie-underwood-reflection-2025,2025,Drama
Sniper: The Last Stand,,https://yts.mx/movies/sniper-the-last-stand-2025,2025,Drama
Kill Bill: Vol. 2,8 / 10,https://yts.mx/movies/kill-bill-vol-2-2004,2004,Drama
The Cell,6.4 / 10,https://yts.mx/movies/the-cell-2000,2000,Drama
The Return,6.2 / 10,https://yts.mx/movies/the-return-2024,2024,Drama
 26 Years,6.3 / 10,https://yts.mx/movies/26-years-2012,2012,Drama
Werewolves,4.4 / 10,https://yts.mx/movies/werewolves-2024,2024,Drama
 Hanzo the Razor: Sword of Justice,6.6 / 10,https://yts.mx/movies/hanzo-the-razor-sword-of-justice-1972,1972,Drama
Big Trouble,5.2 / 10,https://yts.mx/movies/big-trouble-1986,1986,Drama
Big Trouble,5.2 / 10,https://yts.mx/movies/big-trouble-1986,1986,Comedy
 Empty Nets,6.7 / 10,https://yts.mx/movies/empty-nets-2023,2023,Comedy
 La traque,7.2 / 10,https://yts.mx/movies/la-traque-1975,1975,Comedy
Leningrad Cowboys Meet Moses,5.6 / 10,https://yts.mx/movies/leningrad-cowboys-meet-moses-1994,1994,Comedy
 Au revoir Taipei,6.5 / 10,https://yts.mx/movies/au-revoir-taipei-2010,2010,Comedy
Christmas Catch,5.4 / 10,https://yts.mx/movies/christmas-catch-2018,2018,Comedy
 Hanzo the Razor: The Snare,7 / 10,https://yts.mx/movies/hanzo-the-razor-the-snare-1973,1973,Comedy
Never Look Away,7.3 / 10,https://yts.mx/movies/never-look-away-2024,2024,Comedy
The Rainbow Thief,5.8 / 10,https://yts.mx/movies/the-rainbow-thief-1990,1990,Comedy
Nosferatu,7.6 / 10,https://yts.mx/movies/nosferatu-2024,2024,Comedy
Terri,6.5 / 10,https://yts.mx/movies/terri-2011,2011,Comedy
Abandoned,5.1 / 10,https://yts.mx/movies/abandoned-2010,2010,Comedy
 Lucky Winners,6.3 / 10,https://yts.mx/movies/lucky-winners-2024,2024,Comedy
Waterhole #3,6.1 / 10,https://yts.mx/movies/waterhole-3-1967,1967,Comedy
Deterrence,6.4 / 10,https://yts.mx/movies/deterrence-1999,1999,Comedy
The Hangman,6.6 / 10,https://yts.mx/movies/the-hangman-1959,1959,Comedy
 Mission Mangal,6.5 / 10,https://yts.mx/movies/mission-mangal-2019,2019,Comedy
 Sneekweek,4.6 / 10,https://yts.mx/movies/sneekweek-2016,2016,Comedy
Plan 9,4 / 10,https://yts.mx/movies/plan-9-2015,2015,Comedy
Curdled,5.9 / 10,https://yts.mx/movies/curdled-1996,1996,Comedy
